state,buy_rate_$per_kWh,sell_rate_$per_kWh,total_PV_kWh,total_Load_kWh,total_Export_kWh,total_Import_kWh,baseline_cost_$,grid_cost_$,export_credit_$,net_bill_$,savings_$,_hourly_path,_monthly_path,_daily_path
california,0.3,0.15,24848.79203918158,70688.57405452973,6252.1995166878205,52091.98153203596,21206.57221635892,15627.594459610787,937.829927503173,14689.764532107614,6516.807684251306,net_metering/california_hourly_net.csv,net_metering/california_monthly_net.csv,net_metering/california_daily_net.csv
colorado,0.14,0.07,20921.513457368048,70694.79923394643,4704.876879766687,54478.16265634507,9897.2718927525,7626.942771888311,329.3413815836681,7297.601390304642,2599.670502447858,net_metering/colorado_hourly_net.csv,net_metering/colorado_monthly_net.csv,net_metering/colorado_daily_net.csv
florida,0.15,0.075,21937.66727329549,84814.21116280534,3634.2932545260783,66510.83714403592,12722.1316744208,9976.625571605387,272.57199408945587,9704.053577515931,3018.0780969048683,net_metering/florida_hourly_net.csv,net_metering/florida_monthly_net.csv,net_metering/florida_daily_net.csv
maine,0.28,0.14,20471.5453348119,79182.42952986174,3009.992573818403,61720.87676886824,22171.08026836129,17281.84549528311,421.39896033457643,16860.446534948533,5310.633733412757,net_metering/maine_hourly_net.csv,net_metering/maine_monthly_net.csv,net_metering/maine_daily_net.csv
michigan,0.19,0.095,19426.82591305337,79188.25872471218,4048.4978707210207,63809.93068237984,15045.769157695315,12123.88682965217,384.60729771849697,11739.279531933673,3306.489625761642,net_metering/michigan_hourly_net.csv,net_metering/michigan_monthly_net.csv,net_metering/michigan_daily_net.csv
missouri,0.13,0.065,22195.932961330967,70675.63749437421,4858.370337743036,53338.07487078628,9187.832874268648,6933.9497332022165,315.7940719532973,6618.155661248919,2569.6772130197287,net_metering/missouri_hourly_net.csv,net_metering/missouri_monthly_net.csv,net_metering/missouri_daily_net.csv
nevada,0.16,0.08,24221.939420036135,84834.52273328482,4007.4086212969005,64619.99193454558,13573.52363732557,10339.198709527293,320.59268970375206,10018.606019823541,3554.9176175020293,net_metering/nevada_hourly_net.csv,net_metering/nevada_monthly_net.csv,net_metering/nevada_daily_net.csv
north_carolinas,0.13,0.065,22325.51244037191,70687.02934621222,5046.266591333824,53407.783497174125,9189.313815007588,6943.011854632637,328.0073284366986,6615.0045261959385,2574.30928881165,net_metering/north_carolinas_hourly_net.csv,net_metering/north_carolinas_monthly_net.csv,net_metering/north_carolinas_daily_net.csv
north_dakota,0.11,0.055,22971.990445143638,79164.77185307002,5465.428510495775,61658.20991842216,8708.124903837703,6782.403091026437,300.59856807726766,6481.80452294917,2226.320380888533,net_metering/north_dakota_hourly_net.csv,net_metering/north_dakota_monthly_net.csv,net_metering/north_dakota_daily_net.csv
texas,0.14,0.07,21277.500274312202,84828.65492699866,3478.6576421260543,67029.8122948125,11876.011689779813,9384.17372127375,243.5060349488238,9140.667686324927,2735.3440034548858,net_metering/texas_hourly_net.csv,net_metering/texas_monthly_net.csv,net_metering/texas_daily_net.csv
washington,0.11,0.055,18802.746217207296,70688.41024004167,3704.696136028494,55590.360158862866,7775.725126404584,6114.939617474915,203.75828748156718,5911.181329993348,1864.5437964112361,net_metering/washington_hourly_net.csv,net_metering/washington_monthly_net.csv,net_metering/washington_daily_net.csv
